fullname,ticker,name,type,percent,width,link,updated
Ethereum,ETH,Ethereum,Crypto,57.4%,100,https://ethereum.org,10/29/2022
Bitcoin,BTC,Bitcoin,Crypto,25.9%,45.04297109,https://bitcoin.org,10/29/2022
Solana,SOL,Solana,Crypto,10.7%,18.56985083,https://solana.com,10/29/2022
Stellar Lumens,XLM,Stellar,Crypto,5.4%,9.48117648,https://stellar.org,10/29/2022
Polygon,MATIC,Polygon,Crypto,0.6%,1.082391488,https://polygon.technology/,10/29/2022
