bookid,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,myrating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,dateread,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
58763277,A Shot to Save the World: The Remarkable Race and Ground-Breaking Science Behind the Covid-19 Vaccines,Gregory Zuckerman,"Zuckerman, Gregory",,0241531705,9780241531709,5,4.27,Penguin Business,Hardcover,,2021,2021,2022/01/31,2022/01/02,,,read,"This was the perfect time to read the story of the Covid vaccine and the science and history behind vaccines in general, MRNA, and biotech startups. I loved it! The writing was narrative enough to flow but nonfiction packed enough to help me learn new information. I hope there's a sequel about post-Delta developments. ",,,1,,,0,,,,,
35721140,Liquid Rules: The Delightful and Dangerous Substances That Flow Through Our Lives,Mark Miodownik,"Miodownik, Mark",,054485019X,9780544850194,2,4.13,Mariner Books,Hardcover,256,2019,2018,2022/02/01,2020/08/21,scribd,scribd (#1),read,"This book uses a meandering anecdote about a plane flight to weave together factoids about different liquids. I learned a few things here and there, but the story felt forced and there were a bit too many fadcescuous but demeaning comments about random inconsequential characters. I loved the author's other book, ""Stuff Matters,"" but didn't like this as much. ",,,1,,,0,,,,,
58536026,Cover Story,Susan Rigetti,"Rigetti, Susan",,006307205X,9780063072053,0,3.92,William Morrow & Company,Hardcover,368,2022,2022,,2022/02/01,to-read,to-read (#464),to-read,,,,0,,,0,,,,,
50548165,The Secret Life of Groceries: The Dark Miracle of the American Supermarket,Benjamin Lorr,"Lorr, Benjamin",,0553459392,9780553459395,5,3.99,Avery Publishing Group,Hardcover,328,2020,2020,2022/01/29,2021/09/01,,,read,,,,1,,,0,,,,,
57865157,The Hard Sell: Crime and Punishment at an Opioid Startup,Evan Hughes,"Hughes, Evan",,0385544901,9780385544900,0,4.32,Doubleday Books,Hardcover,288,2022,,,2022/01/28,to-read,to-read (#463),to-read,,,,0,,,0,,,,,
55751571,Playing to Win,Michael   Lewis,"Lewis, Michael",,,,3,4.09,Audible Original ,Audible Audio,,2020,2020,2022/01/28,2022/01/28,,,read,,,,1,,,0,,,,,
7331435,A Visit from the Goon Squad,Jennifer Egan,"Egan, Jennifer",,0307592839,9780307592835,2,3.67,Knopf,Hardcover,288,2010,2010,2022/01/27,2022/01/24,book-club,book-club (#2),read,"The character vignettes in this story were remarkable – poignant and real feeling. However, the vast web of characters didn't fit together in a way that allowed me to follow the high-level plot.",,,1,,,0,,,,,
53138083,"Working Backwards: Insights, Stories, and Secrets from Inside Amazon",Colin Bryar,"Bryar, Colin",Bill  Carr,1250267595,9781250267597,4,4.26,St. Martin's Press,Hardcover,304,2021,2021,2021/09/27,2021/09/14,book-club,book-club (#5),read,,,,1,,,0,,,,,
23848139,Putin's People: How the KGB Took Back Russia and Then Took On the West,Catherine Belton,"Belton, Catherine",,0374238715,9780374238711,0,4.21,"Farrar, Straus and Giroux",Hardcover,640,2020,2020,,2021/09/14,"paused, book-club","paused (#39), book-club (#4)",paused,,,,0,,,0,,,,,
57109107,The Lincoln Highway,Amor Towles,"Towles, Amor",,0735222355,9780735222359,5,4.31,Viking,Hardcover,576,2021,2021,2021/11/10,2021/10/21,book-club,book-club (#3),read,,,,1,,,0,,,,,
